GRE	GPA	rank	ResearchExp	admit
612	3.84	Mid	Some	1
554	4.08	Regional	None	1
627	3	High	None	0
677	4.77	High	None	1
587	3.48	High	None	1
534	3.75	High	None	1
590	3.93	Mid	Some	1
542	3.91	High	None	1
516	3.86	Mid	Extensive	1
620	3.6	High	Some	1
510	3.31	High	Extensive	1
374	3.29	Elite	None	0
508	3.07	Regional	Some	1
626	3.59	Elite	None	1
657	4.78	Mid	Some	1
531	3.99	Regional	None	1
545	3.23	Mid	Extensive	1
592	3.91	High	None	1
419	4.6	Regional	None	1
793	4.83	High	Extensive	1
526	4.75	Regional	Some	1
623	4.17	Elite	Extensive	1
835	3.92	Mid	None	1
617	4.67	Mid	Some	1
538	4.76	Elite	Some	1
420	3.61	Regional	None	1
458	3.48	Elite	None	1
555	4.65	Elite	Extensive	1
512	4.26	Mid	None	1
622	4	Mid	Some	1
447	4.77	Elite	None	1
732	3.49	High	None	0
423	4.48	Regional	Extensive	1
609	3.01	High	Extensive	0
487	4.44	Mid	None	1
423	3.41	Regional	Some	0
578	3.93	Mid	Some	1
402	3.67	Mid	Extensive	1
641	4.64	Regional	Some	1
647	4.47	Elite	Some	1
677	4.09	Regional	Some	1
696	3.3	Mid	Some	1
489	3.7	Elite	None	1
514	3.37	High	None	1
397	4.19	High	None	0
663	4.43	Regional	Some	1
506	4.1	High	Some	1
563	4.19	Regional	None	1
637	3.67	Elite	Some	1
601	3.71	Mid	Some	1
587	4.14	High	Some	1
427	4.77	Elite	None	1
534	3.39	High	None	0
659	4.97	Elite	None	1
586	4.24	Elite	None	1
657	4.25	Regional	Extensive	1
613	3.87	Regional	Some	1
467	3.35	High	Some	1
481	3.76	Mid	Some	1
546	4.81	Regional	None	1
609	4.44	Mid	None	1
614	4.24	Regional	None	0
598	3.03	High	Extensive	1
687	3.35	Regional	Extensive	1
435	4.47	Elite	None	1
305	4.11	Mid	None	1
460	3.51	Mid	None	0
510	3.03	High	None	1
722	3.28	Regional	Extensive	1
509	4.31	High	Extensive	1
541	3.44	Elite	None	0
475	4.32	High	None	1
468	3.19	Mid	None	0
318	3.39	Regional	Some	1
496	4.51	High	None	1
650	3.69	Elite	None	1
495	4.23	High	None	1
701	3.64	Mid	Extensive	1
476	4.44	Mid	Extensive	1
483	3.99	Mid	None	0
438	4.09	Elite	Some	1
697	4.33	Elite	None	1
571	3.68	Regional	Some	1
444	3.53	Regional	None	1
550	4.87	High	Some	1
548	4.86	Elite	None	1
680	3.79	High	Extensive	1
451	4.78	Mid	Some	1
445	3.4	High	None	1
651	3.52	Mid	None	1
613	3.67	Elite	None	1
460	4.36	Regional	None	1
722	4.6	Elite	Some	1
559	3.29	Elite	Extensive	0
507	4.36	Mid	Some	1
445	3.11	Regional	Extensive	1
366	3.07	Mid	Some	1
400	3.29	High	Extensive	0
468	4.94	Elite	Extensive	1
572	3.35	Mid	Some	1
619	4.51	Elite	None	0
525	3.83	Mid	None	0
654	4.45	High	Some	1
574	4.54	Mid	Extensive	1
417	4.41	Mid	None	1
542	4.87	Regional	None	1
424	4.63	Regional	Some	0
700	3.72	Elite	Some	1
584	3.63	High	Some	1
672	3.33	Mid	Some	1
430	4.96	Mid	Some	1
507	4.78	Regional	None	1
519	3.53	High	None	1
360	3.7	High	None	1
536	4.36	High	None	1
666	4.09	High	None	1
400	4.43	Regional	None	1
545	3.36	Elite	None	1
528	4.89	Mid	Some	1
516	3.24	Mid	Some	1
486	3.82	Regional	None	1
464	3.17	Elite	None	0
507	4.12	Mid	None	1
411	4.47	High	None	1
575	3.59	High	None	1
545	3.4	Regional	Some	1
412	3.01	Mid	None	1
544	4.73	Mid	None	1
377	3.2	High	Some	0
537	3.33	High	Extensive	1
626	4.99	Elite	Extensive	1
545	4.91	Elite	None	1
478	4.8	Mid	None	1
415	3.11	High	None	0
448	3.91	Elite	Extensive	0
706	3.34	Mid	None	1
449	4.69	Mid	Some	1
540	3.6	High	Some	1
446	4.15	Elite	Some	1
644	4.18	Regional	Some	1
482	3.71	High	Extensive	1
358	4.57	Regional	Extensive	1
644	4.09	High	None	1
613	4.01	Mid	None	1
518	3.58	High	None	1
489	4.3	High	None	1
424	4.59	Regional	Extensive	1
652	4.71	Regional	None	1
597	3.17	Regional	None	1
558	4.63	Mid	Some	1
502	3.72	High	Extensive	0
535	4.37	Elite	None	1
516	4.24	Regional	None	1
431	4.6	Regional	Extensive	1
528	4.63	Elite	Extensive	1
658	3.06	Mid	Extensive	1
617	4.72	High	None	1
663	3.81	Mid	None	1
611	3.36	High	None	1
705	3.12	High	Some	1
578	4.01	Mid	None	1
741	3.22	High	None	1
540	3.54	High	Some	1
540	4.33	Mid	Some	1
463	4.66	High	None	1
379	4.9	Elite	None	1
566	3.31	Elite	Some	0
527	4.04	Regional	Some	1
377	3.58	Regional	Some	1
636	3.98	High	Some	1
656	4.83	Mid	Some	1
651	4.76	Regional	None	1
569	3.13	Regional	None	1
649	4.1	Mid	Extensive	1
775	4.26	Mid	None	1
669	4.53	High	Some	1
484	3.95	High	None	1
640	4.67	Mid	None	1
369	3.21	Mid	None	1
448	4.59	Mid	None	1
604	3.31	Mid	Some	0
639	3.74	Regional	Some	1
694	3.68	Elite	None	0
612	3.52	High	None	1
398	4.77	High	Some	1
443	3.88	Regional	Extensive	1
614	4.18	High	None	1
593	3.8	Elite	Some	1
634	3.26	Mid	Some	1
522	3.26	Regional	None	1
592	4.54	High	None	1
617	3.49	High	None	0
651	4.51	High	Extensive	1
578	3.3	Regional	None	0
582	3.89	Elite	None	0
595	4.51	Mid	Some	1
674	3.7	High	None	0
687	3.73	High	None	1
578	4.86	High	None	1
556	4.71	High	Extensive	1
